ticker,company,Latest Price,Price
CABL,East African Cables Limited, KES 1 ,1
KPLC,Kenya Power & Lighting Company, KES 1 ,1
FTGH,Flame Tree Group Holdings Limited, KES 1 ,1
TCL,Trans Century Limited, KES 1 ,1
EVRD,Eveready East Africa Limited, KES 1 ,1
NBV,Nairobi Business Ventures Ltd, KES 1 ,1
DCON,Deacons East Africa Plc, KES 0 ,0
HAFR,Home Afrika Limited, KES 0 ,0
UCHM,Uchumi Supermarket Limited, KES 0 ,0
MSC,Mumias Sugar Company Limited, KES 0 ,0
